Time,Data
31/03/2019 00:30,0.7
31/03/2019 01:00,0.7
31/03/2019 01:30,0.725
31/03/2019 02:00,0.675
31/03/2019 02:30,0.65
31/03/2019 03:00,0.625
31/03/2019 03:30,0.6
31/03/2019 04:00,0.575
31/03/2019 04:30,0.575
31/03/2019 05:00,0.575
31/03/2019 05:30,0.6
31/03/2019 06:00,0.6
31/03/2019 06:30,0.65
31/03/2019 07:00,0.675
31/03/2019 07:30,0.675
31/03/2019 08:00,0.675
31/03/2019 08:30,0.7
31/03/2019 09:00,0.7
31/03/2019 09:30,0.7
31/03/2019 10:00,0.7
31/03/2019 10:30,0.7
31/03/2019 11:00,0.675
31/03/2019 11:30,0.675
31/03/2019 12:00,0.65
31/03/2019 12:30,0.6
31/03/2019 13:00,0.575
31/03/2019 13:30,0.6
31/03/2019 14:00,0.6
31/03/2019 14:30,0.6
31/03/2019 15:00,0.625
31/03/2019 15:30,0.65
31/03/2019 16:00,0.675
31/03/2019 16:30,0.7
31/03/2019 17:00,0.725
31/03/2019 17:30,0.75
31/03/2019 18:00,0.75
31/03/2019 18:30,0.775
31/03/2019 19:00,0.8
31/03/2019 19:30,0.8
31/03/2019 20:00,0.775
31/03/2019 20:30,0.75
31/03/2019 21:00,0.7
31/03/2019 21:30,0.65
31/03/2019 22:00,0.6
31/03/2019 22:30,0.55
31/03/2019 23:00,0.525
31/03/2019 23:30,0
01/04/2019 00:00,0
01/04/2019 00:30,0.55
01/04/2019 01:00,0.575
01/04/2019 01:30,0.675
01/04/2019 02:00,0.7
01/04/2019 02:30,0.725
01/04/2019 03:00,0.7
01/04/2019 03:30,0.675
01/04/2019 04:00,0.65
01/04/2019 04:30,0.625
01/04/2019 05:00,0.625
01/04/2019 05:30,0.625
01/04/2019 06:00,0.65
01/04/2019 06:30,0.725
01/04/2019 07:00,0.8
01/04/2019 07:30,0.875
01/04/2019 08:00,0.925
01/04/2019 08:30,0.9
01/04/2019 09:00,0.85
01/04/2019 09:30,0.825
01/04/2019 10:00,0.775
01/04/2019 10:30,0.75
01/04/2019 11:00,0.7
01/04/2019 11:30,0.7
01/04/2019 12:00,0.65
01/04/2019 12:30,0.65
01/04/2019 13:00,0.625
01/04/2019 13:30,0.6
01/04/2019 14:00,0.6
01/04/2019 14:30,0.6
01/04/2019 15:00,0.6
01/04/2019 15:30,0.6
01/04/2019 16:00,0.625
01/04/2019 16:30,0.65
01/04/2019 17:00,0.7
01/04/2019 17:30,0.75
01/04/2019 18:00,0.775
01/04/2019 18:30,0.85
01/04/2019 19:00,0.85
01/04/2019 19:30,0.85
01/04/2019 20:00,0.875
01/04/2019 20:30,0.875
01/04/2019 21:00,0.85
01/04/2019 21:30,0.825
01/04/2019 22:00,0.775
01/04/2019 22:30,0.725
01/04/2019 23:00,0.675
01/04/2019 23:30,0.625
02/04/2019 00:00,0.6
02/04/2019 00:30,0.6
02/04/2019 01:00,0.625
02/04/2019 01:30,0.725
02/04/2019 02:00,0.7
02/04/2019 02:30,0.7
02/04/2019 03:00,0.725
02/04/2019 03:30,0.7
02/04/2019 04:00,0.7
02/04/2019 04:30,0.675
02/04/2019 05:00,0.65
02/04/2019 05:30,0.65
02/04/2019 06:00,0.65
02/04/2019 06:30,0.725
02/04/2019 07:00,0.8
02/04/2019 07:30,0.9
02/04/2019 08:00,0.9
02/04/2019 08:30,0.9
02/04/2019 09:00,0.875
02/04/2019 09:30,0.925
02/04/2019 10:00,0.9
02/04/2019 10:30,0.875
02/04/2019 11:00,0.825
02/04/2019 11:30,0.75
02/04/2019 12:00,0.75
02/04/2019 12:30,0.725
02/04/2019 13:00,0.7
02/04/2019 13:30,0.675
02/04/2019 14:00,0.7
02/04/2019 14:30,0.7
02/04/2019 15:00,0.725
02/04/2019 15:30,0.75
02/04/2019 16:00,0.75
02/04/2019 16:30,0.8
02/04/2019 17:00,0.85
02/04/2019 17:30,0.875
02/04/2019 18:00,0.9
02/04/2019 18:30,0.925
02/04/2019 19:00,0.925
02/04/2019 19:30,0.9
02/04/2019 20:00,0.9
02/04/2019 20:30,0.925
02/04/2019 21:00,0.875
02/04/2019 21:30,0.85
02/04/2019 22:00,0.8
02/04/2019 22:30,0.75
02/04/2019 23:00,0.7
02/04/2019 23:30,0.65
03/04/2019 00:00,0.625
03/04/2019 00:30,0.625
03/04/2019 01:00,0.65
03/04/2019 01:30,0.775
03/04/2019 02:00,0.8
03/04/2019 02:30,0.8
03/04/2019 03:00,0.8
03/04/2019 03:30,0.775
03/04/2019 04:00,0.75
03/04/2019 04:30,0.725
03/04/2019 05:00,0.7
03/04/2019 05:30,0.7
03/04/2019 06:00,0.725
03/04/2019 06:30,0.8
03/04/2019 07:00,0.85
03/04/2019 07:30,0.9
03/04/2019 08:00,0.9
03/04/2019 08:30,0.875
03/04/2019 09:00,0.8
03/04/2019 09:30,0.825
03/04/2019 10:00,0.8
03/04/2019 10:30,0.8
